Designator,Mid X,Mid Y,Rotation,Layer
C10,173.5,-52.5375,90.0,top
C11,176.0,-52.5375,90.0,top
C12,190.03,-80.9625,270.0,top
C13,187.53,-80.9625,270.0,top
C14,166.4625,-53.0,0.0,top
C15,199.4625,-59.5,180.0,top
C16,199.5,-62.0,180.0,top
C17,189.0,-51.5375,90.0,top
C18,178.5,-70.5,270.0,top
C19,156.46,-108.0,0.0,top
C2,173.5,-70.5375,270.0,top
C20,172.5,-91.0,90.0,top
C21,168.0,-43.4625,270.0,top
C22,165.5,-43.4625,270.0,top
C23,163.0,-43.4625,90.0,top
C3,171.0,-52.4625,90.0,top
C4,181.0,-70.5375,270.0,top
C5,187.4625,-58.0,0.0,top
C6,181.0,-52.5375,90.0,top
C7,178.5,-52.5375,90.0,top
C9,176.0,-70.5375,270.0,top
CN1,193.5,-108.5,0.0,top
CN2,203.54,-108.5,0.0,top
D1,156.5,-82.0,0.0,top
J1,190.25,-43.0,0.0,top
J2,216.5,-84.5,270.0,top
J3,216.5,-94.0,270.0,top
J4,216.0,-70.25,270.0,top
J5,203.5,-43.0,0.0,top
J6,209.0,-70.25,270.0,top
J7,216.0,-60.25,270.0,top
J8,209.0,-60.25,270.0,top
Q1,203.96,-84.75,0.0,top
Q2,203.96,-94.25,0.0,top
Q3,215.95,-77.4,90.0,top
Q4,208.45,-77.4,90.0,top
Q5,216.05,-53.6,270.0,top
Q6,209.05,-53.6,270.0,top
R1,159.5,-62.0,180.0,top
R2,159.5,-59.5,180.0,top
R3,165.0,-70.5,270.0,top
R4,186.5,-51.5,90.0,top
R5,187.5,-61.5,180.0,top
R6,160.0,-43.5,90.0,top
R7,157.5,-43.5,90.0,top
SW1,168.5,-70.0,90.0,top
SW2,192.5,-51.5,90.0,top
U1,179.0,-61.0,90.0,top
U2,179.0,-79.5,180.0,top
U3,167.0,-61.0,270.0,top
U4,194.4,-60.65,180.0,top
U5,174.49,-104.68,0.0,top
U6,156.5,-95.0,270.0,top
U7,148.33,-58.63,270.0,top
U8,149.0,-44.0675,180.0,top
USB1,137.05,-96.5,270.0,top
USB2,136.91,-77.5,270.0,top
USB3,136.91,-58.5,270.0,top
